OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,COMPLEX_NAME,IRWINID,FIRE_NUM,COMPLEX_ID,DECADES,Shape__Area,Shape__Length
7095,2003,CA,CDF,TCU,ROCK,4653,2003/07/05 00:00:00+00,2003/07/05 00:00:00+00,9,1,1,126.2086,,,,358,,2000,818285.3477,4437.475807
7096,2003,CA,CDF,TCU,CREED,5399,2003/07/31 00:00:00+00,2003/07/31 00:00:00+00,9,1,1,32.96297,,,,445,,2000,213049.7773,2253.221425
7097,2003,CA,CDF,TCU,LIGHTNING #26,6455,2003/08/26 00:00:00+00,2003/08/26 00:00:00+00,2,1,1,73.61822,,,,577,,2000,476485.1602,3525.109036
7098,2003,CA,CDF,TCU,LIGHTNING #28,6457,2003/08/26 00:00:00+00,2003/08/26 00:00:00+00,2,1,1,87.01574,,,,579,,2000,563272.7266,3915.814471
7099,2003,CA,CDF,TCU,OBYRNES,5058,2003/07/17 00:00:00+00,2003/07/17 00:00:00+00,9,1,1,204.1493,,,,402,,2000,1328405.5,5158.360115
7100,2003,CA,CDF,TCU,SHELL,5895,2003/08/09 00:00:00+00,2003/08/09 00:00:00+00,2,1,1,37.43691,,,,517,,2000,244005.7266,2191.589953
7101,2003,CA,CDF,TCU,MURPHY,4646,2003/07/05 00:00:00+00,2003/07/05 00:00:00+00,10,1,1,21.79315,,,,355,,2000,142014.2227,2773.05948
7102,2003,CA,CDF,TCU,HWY26 #2,6612,2003/08/31 00:00:00+00,2003/09/01 00:00:00+00,2,2,1,101.4241,,,,594,,2000,666539.8008,4645.086614
7103,2003,CA,CDF,TCU,SHELLY,3799,2003/06/13 00:00:00+00,2003/06/13 00:00:00+00,10,2,1,106.9997,,,,267,,2000,699988.9336,4138.867765
7104,2003,CA,CDF,TCU,LIGHTNING #24,6448,2003/08/26 00:00:00+00,2003/08/26 00:00:00+00,1,2,1,14.72549,,,,575,,2000,95659.25391,1310.237161
7105,2003,CA,CDF,TCU,PITMAN,6094,2003/08/15 00:00:00+00,2003/08/15 00:00:00+00,2,2,1,66.56636,,,,534,,2000,434306.1328,2939.72654
7106,2003,CA,CDF,TCU,MEDINA,7983,2003/10/18 00:00:00+00,2003/10/18 00:00:00+00,14,6,1,0.1017515,,,,745,,2000,668.6796875,115.7267271
7107,2003,CA,CDF,TGU,NATURE,3554,2003/06/23 00:00:00+00,2003/06/23 00:00:00+00,1,8,1,617.3187,,,,75,,2000,4249005.145,15935.80481
7108,2003,CA,CDF,TGU,2-Apr,5488,2003/09/03 00:00:00+00,2003/09/05 00:00:00+00,2,8,1,304.0031,,,,151,,2000,2062430.25,7711.491716
7109,2003,CA,CCO,VNC,SYCAMORE INCIDENT,3024489,2003/03/28 00:00:00+00,2003/03/28 00:00:00+00,11,6,1,77.31881,,,,3024489,,2000,457831.2422,3326.210064
7110,2003,CA,CDF,TUU,DINELEY,7054,2003/07/05 00:00:00+00,2003/07/06 00:00:00+00,11,7,1,205.5308,,,,120,,2000,1289102.91,5776.03255
7111,2003,CA,USF,INF,MCGEE,0,2003/09/03 00:00:00+00,2003/09/03 00:00:00+00,1,2,1,8.035213,,,,63,,2000,51900.24219,1191.684169
7112,2003,CA,USF,KNF,WOOLEY,0,2003/08/02 00:00:00+00,2003/08/07 00:00:00+00,1,2,1,22.72387,,,,54,,2000,164037.6445,2263.836291
7113,2003,CA,USF,KNF,VISTA,0,2003/07/07 00:00:00+00,2003/07/10 00:00:00+00,7,2,1,41.09523,,,,14,,2000,297121.707,2546.651666
7114,2003,CA,USF,KNF,WHITES,0,2003/09/03 00:00:00+00,2003/09/08 00:00:00+00,1,6,1,131.598,,,,101,,2000,943662.0859,4193.340875
7115,2003,CA,USF,LPF,HOPPER,0,2003/07/05 00:00:00+00,2003/07/06 00:00:00+00,2,8,1,34.57208,,,,16,,2000,206301.0273,2770.833549
7116,2003,CA,USF,MNF,HAVALON,0,2003/09/03 00:00:00+00,2003/09/07 00:00:00+00,1,6,1,7.761516,,GRINDSTONE COMPLEX,,44,934,2000,53284.9375,939.2878192
7117,2003,CA,USF,MNF,CONKLIN,0,2003/09/03 00:00:00+00,2003/09/03 00:00:00+00,1,6,1,4.24912,,GRINDSTONE COMPLEX,,46,934,2000,29169.11719,740.269564
7118,2003,CA,USF,MNF,HARDIN,0,2003/09/03 00:00:00+00,2003/09/09 00:00:00+00,1,2,1,123.2896,,GRINDSTONE COMPLEX,,37,934,2000,844454.0859,4632.385863
7119,2003,CA,USF,MNF,ICE,0,2003/09/03 00:00:00+00,2003/09/06 00:00:00+00,1,2,1,139.8961,,GRINDSTONE COMPLEX,,57,934,2000,957951.0898,4586.091534
7120,2003,CA,USF,MNF,WALKER CABIN,0,2003/09/03 00:00:00+00,2003/09/09 00:00:00+00,1,2,1,75.27887,,GRINDSTONE COMPLEX,,52,934,2000,515443.082,3725.572882
7121,2003,CA,USF,MNF,ESTELL CREEK,0,2003/09/03 00:00:00+00,2003/09/12 00:00:00+00,1,2,1,221.5509,,GRINDSTONE COMPLEX,,48,934,2000,1512267.125,6843.149254
7122,2003,CA,USF,SQF,BAR,0,2003/08/08 00:00:00+00,2003/08/08 00:00:00+00,9,6,1,28.70318,,,,84,,2000,175551.5625,1858.497038
7123,2003,CA,BLM,CDD,ROBLAR 2,0,2003/10/21 00:00:00+00,2003/10/28 00:00:00+00,2,8,1,6892.213,,,,0000AW5J,,2000,40142718.2,38014.94622
7124,2003,CA,CDF,HUU,HONEYDEW,4545,2003/09/04 00:00:00+00,2003/10/07 00:00:00+00,1,2,1,11794.33,,,,236,,2000,81805515.78,48519.6366
7125,2003,CA,CDF,HUU,JOHNSON,4583,2003/09/04 00:00:00+00,2003/09/05 00:00:00+00,10,8,1,5.019665,,,,245,,2000,36029.64844,763.408995
7126,2003,CA,CDF,HUU,RAINBOW,2975,2003/07/06 00:00:00+00,2003/07/10 00:00:00+00,14,2,1,15.61352,,,,96,,2000,108801.4961,1416.879937
7127,2003,CA,CDF,HUU,"""10""",4453,2003/09/03 00:00:00+00,2003/09/10 00:00:00+00,1,2,1,212.8838,,,,204,,2000,1475484.332,5834.456088
7128,2003,CA,CDF,HUU,TECTAH,4570,2003/09/04 00:00:00+00,2003/09/06 00:00:00+00,1,2,1,96.65542,,,,242,,2000,694460.3867,3990.362091
7129,2003,CA,BLM,CDD,MINE/OTAY,0,2003/10/26 00:00:00+00,2003/10/30 00:00:00+00,9,8,1,44734.13,,,,0000AXS3,,2000,255905420.9,83971.4434
7130,2003,CA,BLM,NOD,MINE,0,2003/08/20 00:00:00+00,2003/08/21 00:00:00+00,14,8,1,14.22727,,,,0000U663,,2000,100174.6797,1414.825486
7131,2003,CA,BLM,NOD,IRON CANYON,0,2003/09/03 00:00:00+00,2003/09/03 00:00:00+00,14,8,1,18.84302,,,,0000D257,,2000,131059.2656,1654.32201
7132,2003,CA,BLM,NOD,HW 36 / ISHI,0,2003/08/15 00:00:00+00,2003/08/15 00:00:00+00,14,8,1,23.0363,,,,0000U659,,2000,160113.1172,2239.595422
7133,2003,CA,BLM,BBD,MICHAELS,0,2003/09/15 00:00:00+00,2003/09/18 00:00:00+00,14,8,1,388.8308,,,,0000U964,,2000,2403578.109,7939.634819
